Question,Context,Answer 1,Score 1,Feedback 1,Answer 2,Score 2,Feedback 2
What organs can a magnetic resonance imaging (MRI) check?,A MRI of the brain and spinal cord looks for: Blood vessel damage Brain injury Cancer Multiple sclerosis Spinal cord injuries Stroke A MRI of the heart and blood vessels looks for: Blocked blood vessels Damage caused by a heart attack Heart disease Problems with the structure of the heart A MRI of the bones and joints looks for: Bone infections Cancer Damage to joints Disc problems in the spine Neck or low back pain with nerve signs MRIs can also be done to check the health of these organs: Breasts (women) Liver Kidneys Ovaries (women) Pancreas Prostate (men) A special kind of MRI called a functional MRI (f MRI) maps brain activity.,"MRI can check the brain, spinal cord, heart, bones, joints, breasts, liver, kidneys, ovaries, pancreas, and prostate.",10,Comprehensive and accurate answer covering multiple organs.,"MRI can check the heart, lungs, liver, kidneys, and pancreas.",5,"Partial answer missing important organs such as the brain, spinal cord, and joints."
What should you let your doctor know before your magnetic resonance imaging (MRI)?,"Before your MRI, let your doctor know if you: Have any health problems, such as kidney or liver disease Recently had surgery Have any allergies to food or medicine, or if you have asthma Are pregnant, or might be pregnant No metal is allowed in the MRI room, because the magnetic field in the machine can attract metal.","Have any health problems, recently had surgery, allergies, pregnancy.",10,"Perfect answer, includes all key points.","Health problems, surgery, allergies, pregnancy, no metal allowed.",8,"Good job, but could have been more concise and clear."
What happens during a magnetic resonance imaging (MRI) test?,"Before some MRIs, you'll get contrast dye into a vein in your arm or hand. This dye helps the doctor more clearly see structures inside your body. The dye often used in MRIs is called gadolinium. It can leave a metal taste in your mouth. You will lie on a table that slides into the MRI machine. Straps might be used to hold you still during the test. Your body might be completely inside the machine. Or, part of your body may stay outside the machine. The MRI machine creates a strong magnetic field inside your body. A computer takes the signals from the MRI and uses them to make a series of pictures. Each picture shows a thin slice of your body. You might hear a loud thumping or tapping sound during the test. This is the machine creating energy to take pictures inside your body. You can ask for earplugs or headphones to muffle the sound. You might feel a twitching sensation during the test. This happens as the MRI stimulates nerves in your body. It's normal, and nothing to worry about. The MRI scan should take between 20 and 90 minutes.","Contrast dye is injected, body slides into MRI machine, pictures are taken.",9,"Good overview of the process, clear and concise.","Dye is used, machine creates magnetic field, pictures taken.",7,"Missing details about lying on table, potential sensations during test."
What do your magnetic resonance imaging (MRI) results mean?,"Certain people with metal inside their body can't get this test, including those with: Some clips used to treat brain aneurysms Pacemakers and cardiac defibrillators Cochlear implants Certain metal coils placed in blood vessels A specially trained doctor called a radiologist will read the results of your MRI and send the report to your doctor. Your doctor will explain the meaning of your test results and what to do next.",A radiologist will interpret the results accurately.,10,Great job providing a concise and accurate answer.,It shows images of inside your body.,5,"Good start, but could be more specific about the interpretation of the results."
Who shouldn't get magnetic resonance imaging (MRI)?,"Pregnant women should not get a MRI during their first trimester unless they absolutely need the test. The first trimester is when the baby's organs develop. You also shouldn't get contrast dye when you're pregnant. Don't get contrast dye if you've had an allergic reaction to it in the past or you have severe kidney disease. Certain people with metal inside their body can't get this test, including those with: Some clips used to treat brain aneurysms Pacemakers and cardiac defibrillators Cochlear implants Certain metal coils placed in blood vessels A specially trained doctor called a radiologist will read the results of your MRI and send the report to your doctor.","Pregnant women during first trimester, metal inside body.",8,"Good coverage of key points, could be more detailed.","Pregnant women, people with metal inside body.",7,"Partial answer, missing specific details about metal implants."
What does a magnetic resonance imaging (MRI) of the bones and joints look for?,A MRI of the brain and spinal cord looks for: Blood vessel damage Brain injury Cancer Multiple sclerosis Spinal cord injuries Stroke A MRI of the heart and blood vessels looks for: Blocked blood vessels Damage caused by a heart attack Heart disease Problems with the structure of the heart A MRI of the bones and joints looks for: Bone infections Cancer Damage to joints Disc problems in the spine Neck or low back pain with nerve signs MRIs can also be done to check the health of these organs: Breasts (women) Liver Kidneys Ovaries (women) Pancreas Prostate (men) A special kind of MRI called a functional MRI (f MRI) maps brain activity.,"Bone infections, cancer, damage to joints, disc problems.",10,Correct and comprehensive answer.,"Looks for bone problems, joint injuries, spine issues.",7,"Partial answer, missed mentioning cancer and disc problems."
What does a magnetic resonance imaging (MRI) of the heart and blood vessels look for?,A MRI of the brain and spinal cord looks for: Blood vessel damage Brain injury Cancer Multiple sclerosis Spinal cord injuries Stroke A MRI of the heart and blood vessels looks for: Blocked blood vessels Damage caused by a heart attack Heart disease Problems with the structure of the heart A MRI of the bones and joints looks for: Bone infections Cancer Damage to joints Disc problems in the spine Neck or low back pain with nerve signs MRIs can also be done to check the health of these organs: Breasts (women) Liver Kidneys Ovaries (women) Pancreas Prostate (men) A special kind of MRI called a functional MRI (f MRI) maps brain activity.,"Blocked blood vessels, damage caused by a heart attack, heart disease, problems with the structure of the heart.",10,"Excellent, comprehensive answer covering all aspects of what an MRI of the heart and blood vessels looks for.","Heart conditions, blood flow issues.",7,"Good start, but could be more specific about the potential issues that an MRI of the heart and blood vessels can detect."
Why would you need magnetic resonance imaging (MRI)?,"A MRI helps a doctor diagnose a disease or injury, and it can monitor how well you're doing with a treatment. MRIs can be done on different parts of your body.",MRI helps doctors diagnose diseases or injuries accurately.,10,"Perfect answer, well done!",MRI shows what's wrong inside your body for treatment.,8,"Good attempt, could mention monitoring treatment progress for completeness."
What is magnetic resonance imaging (MRI)?,"Magnetic resonance imaging ( MRI) is a test that uses powerful magnets, radio waves, and a computer to make detailed pictures inside your body. Your doctor can use this test to diagnose you or to see how well you've responded to treatment. Unlike X-rays and computed tomography ( CT) scans, MRIs do not use the damaging ionizing radiation of X-rays.",MRI is a medical test using magnets and radio waves.,7,"Good summary, could include more details about its use.",MRI is a scan that uses magnets and radio waves.,6,"Correct, but could mention the computer and detailed images aspect."
What does magnetic resonance imaging (MRI) equipment look like?,"You lie on a table that slides all the way into the tube. In a short-bore system, you are not totally inside the MRI machine. Only the part of your body that's being scanned is inside. The rest of your body is outside the machine. An open MRI is open on all sides. This type of machine may be best if you have claustrophobia -- a fear of tight spaces -- or you're very overweight. The quality of images from some open MRI machines isn't as good as it is with a closed MRI.",Short-bore system with body partially inside.,10,Correct and concise answer.,Big tube with body fully inside.,5,"Incomplete answer, lacks details about open MRI and closed MRI."
What causes plantar fasciitis?,"You're at greater risk of plantar fasciitis if you: Are female Are 40 to 60 years old Are obese Have flat feet or high arches Have tight Achilles tendons, or âheel cordsâ Have an unusual walk or foot position Often wear high-heeled shoes Spend many hours standing each day Wear worn-out shoes with thin soles Your doctor will ask about your symptoms and check your feet to see where you're having pain.","Risk factors include age, obesity, foot structure.",8,Good summary of key risk factors.,Being overweight or having flat feet.,6,"Partial answer, could include more risk factors."
What is plantar fasciitis?,"Plantar fasciitis is inflammation of the thick band of tissue (also called a fascia) at the bottom of your foot that runs from your heel to your toes. Your fascia supports the muscles and arch of your foot. When it's overly stretched, you can get tiny tears in its surface. This can bring on pain and inflammation.",Inflammation of tissue at bottom of foot causing pain.,9,"Good concise answer, captures the main idea well.",Inflammation of foot tissue leading to pain and inflammation.,8,"Good attempt, could be more specific about the location."
What are hyaluronic acid joint injections?,"People with arthritis get these shots to help lubricate their joints so that they work more smoothly. Your doctor can let you know if it would help you based on your symptoms and other treatments you've tried. Though the shots have been available for more than a decade, studies on how effective they are have shown mixed results. If you have osteoarthritis, your supply of synovial fluid has thinned.",Injections used to lubricate joints for arthritis relief.,8,"Good summary, could include more details.",Injections for smooth joint movement in arthritis patients.,6,"Correct, but could mention the thinning of synovial fluid."
How does spirometry help with the diagnosis of asthma?,"Spirometry. This is a simple breathing test that measures how much and how fast you can blow air out of your lungs. Airway obstruction due to asthma or COPD is quickly revealed. Spirometry can be done before and after you inhale the asthma drug albuterol, a bronchodilator. Albuterol delivered in an asthma inhaler helps open blocked airways. If the airway obstruction improves after albuterol, that indicates you have asthma or COPD.",Spirometry measures lung function to detect airway obstruction.,10,Well done! Clear and concise explanation.,Spirometry measures lung capacity but does not diagnose asthma.,5,"Good attempt, but missed the key point about detecting airway obstruction for asthma diagnosis."
How do lung function tests help diagnose asthma?,"Lung function tests (pulmonary function tests or PFTs) include several simple breathing tests to diagnose lung problems. The two most common are spirometry and methacholine challenge tests. These two tests, along with a history and physical exam, are the standards for making the diagnosis of asthma.",Lung function tests like spirometry and methacholine challenge tests are standards for diagnosing asthma.,10,Great job! Clear and concise answer explaining the role of lung function tests in diagnosing asthma.,Lung function tests can diagnose asthma by measuring lung capacity.,7,"Good start, but could be improved by mentioning specific tests like spirometry and methacholine challenge tests."
How is chest X-ray used to diagnose asthma?,"By viewing your lungs on an X-ray, your doctor can see if you have another health condition that may be causing asthma-like symptoms. Asthma may cause a small increase in the size of your lungs (called hyperinflation), but a person with asthma will usually have a normal chest X-ray. Patients with COPD will also have hyperinflation, but emphysema causes holes in lung tissue, called blebs or bullae, which are evident on a chest X-ray.",Chest X-ray can help rule out other conditions.,8,"Good, but could mention hyperinflation seen in asthma.",Chest X-ray shows normal results in asthma.,6,"Correct, but missed mentioning hyperinflation as a possibility in asthma."
How can diffusing capacity (DLCO) test help with the diagnosis of asthma?,"This is a simple breathing test that measures how much and how fast you can blow air out of your lungs. The DLCO is normal in people with asthma and low in smokers who have COPD. Asthma may cause a small increase in the size of your lungs (called hyperinflation), but a person with asthma will usually have a normal chest X-ray.",DLCO test can help rule out COPD.,7,"Good point, but missed the connection with asthma.",DLCO test measures how fast air exits lungs.,5,"Partially correct, but missing the asthma diagnosis aspect."
How can methacholine challenge test (MCT) help diagnose asthma?,"Methacholine challenge test ( MCT). During this test, you inhale increasing amounts of a mist of methacholine before and after spirometry. If lung function drops by 20% or more after a low dose of methacholine, that indicates you have asthma.",MCT measures lung function response to methacholine.,7,"Good explanation, but could mention the 20% drop criteria.",It checks how lungs react to methacholine.,5,"Correct, but missing detail about specific drop in lung function."
How do you diagnose persistent depressive disorder?,"It is marked by a depressed mood for most of the day, for more days than not, for at least 2 years. In children and teens, moods can be irritable for at least 1 year to be called Persistent Depressive Disorder.","By observing a depressed mood most of the day, for at least 2 years.",8,"Good explanation, but could mention other diagnostic criteria as well.",Look for a sad mood for more days than not.,5,"Partial answer, missed mentioning the duration requirement and other diagnostic criteria."
How do you treat cyclothymic disorder?,"Some people with mild symptoms of cyclothymia are able to live successful, fulfilling lives. Others find their relationships troubled by depression, impulsive actions, and strong emotions. For these people, short-term medications may bring relief. Mood stabilizers include antiseizure drugs such as lithium, Depakote, Tegretol, or Lamictal.","Mood stabilizers such as lithium, Depakote, Tegretol, or Lamictal.",10,Correct and concise answer.,Medications can bring relief for cyclothymic disorder.,6,"Partial answer, could specify the type of medications used."
How do you treat persistent depressive disorder?,"Antidepressants , such as selective-serotonin reuptake inhibitors ( SSRIs), serotonin norepinephrine reuptake inhibitors ( SNRIs), or tricyclic antidepressants, are often used to treat PDD. You may need to try more than one medication to find the one that works best. Doctors believe treatment for PDD is effective with a combination of antidepressants and psychotherapy. Specific kinds of talk therapy, such as cognitive behavioral therapy ( CBT), psychodynamic psychotherapy, or interpersonal therapy ( IPT), are known to be effective forms of psychotherapy that treat PDD. Other changes may also help, including seeking social support and finding an interesting occupation.",Antidepressants and psychotherapy are effective treatments for PDD.,10,"Correct and concise answer, well done!","Antidepressants can help, and talk therapy is also recommended.",8,"Good effort, but could have mentioned specific types of talk therapy for more detail."
Should you get treatment for persistent depressive disorder?,"Staying in a constant state of moodiness is no way to live. Another is that PDD can also increase your risk for physical diseases. If left untreated, this mood disorder can develop into more severe depression. It can also increase your risk for attempting suicide.","Yes, seeking treatment can improve your quality of life.",10,"Perfect answer, well done!","No, it's not necessary to get treatment.",3,"The answer is incorrect, treatment is important for PDD."
What are symptoms of cyclothymic disorder?,"PDD can occur alone or with other psychiatric or mood disorders, although not with mania or hypomania. With cyclothymic disorder, you have low-grade high periods (hypomanias) as well as brief, fleeting periods of depression that don't last as long (less than 2 weeks at a time) as in a major depressive episode. Symptoms usually appear in adolescence or young adulthood. But because symptoms are mild, it is often difficult to tell when cyclothymia begins. A diagnosis of cyclothymic disorder may result from simply describing symptoms like these: Episodes that involve brief, recurrent periods of depression and, at other times, episodes of hypomania; this pattern of episodes must be present for at least 2 years. Symptoms that persist, creating fewer than 2 symptom-free months in a row.",Episodes of brief depression and hypomania for 2 years.,10,Great job! Answer is concise and accurate.,Periods of depression and hypomania with less than 2 weeks duration.,8,"Good effort, but could mention the 2-year duration requirement."
What is persistent depressive disorder?,"Although less extreme, Persistent Depressive Disorder ( PDD) causes chronic or long-lasting moodiness that ranges in severity. PDD can occur alone or with other psychiatric or mood disorders, although not with mania or hypomania. As with depression, PDD is more common in women than in men. This mood disorder tends to appear earlier than major depression, although it can begin anytime from childhood to later in life.","Chronic moodiness with severity, more common in women.",8,"Good summary, could mention age of onset.","Long-lasting moodiness, not with mania or hypomania.",7,Missing information about commonality in women.
Who gets cyclothymic disorder?,"Up to 4% of the general population is affected by PDD. But know that it may take several weeks or longer to take effect. Its cause is unknown, but genetics may play a role; cyclothymia is more common in people with relatives who have bipolar disorder. Symptoms usually appear in adolescence or young adulthood. But because symptoms are mild, it is often difficult to tell when cyclothymia begins.",More common in people with relatives who have bipolar disorder.,8,"Good job, concise and accurate answer.","Anyone can develop cyclothymic disorder, but genetics may play a role.",7,"Good attempt, consider being more specific next time."
Can cyclothymic disorder become bipolar disorder?,"Persistent Depressive Disorder is a less severe form of depression. The hypomanias in cyclothymic disorder are similar to those seen in bipolar II disorder, and do not progress to full-blown manias. In some cases, cyclothymic disorder progresses to full-blown bipolar disease.","Yes, in some cases cyclothymic disorder progresses to bipolar disorder.",10,Correct and concise answer providing necessary detail.,"Sometimes it can, but not always.",7,"Good attempt, but could have provided more clarity."
What is cyclothymic disorder?,"Persistent Depressive Disorder is a less severe form of depression. With cyclothymic disorder, you have low-grade high periods (hypomanias) as well as brief, fleeting periods of depression that don't last as long (less than 2 weeks at a time) as in a major depressive episode. The hypomanias in cyclothymic disorder are similar to those seen in bipolar II disorder, and do not progress to full-blown manias. For example, you may feel an exaggerated sense of productivity or power, but you don't lose connection with reality. They tend to not be as disabling as they are with bipolar disorder.",Low-grade high periods with brief periods of depression.,8,"Good summary, could mention it's a mood disorder.",A disorder with mild hypomanias and short depressions.,7,Include that it's a mood disorder for clarity.
What are side effects of palbociclib and ribociclib in treating breast cancer?,"Common side effects include: Pain where you get the shot Nausea and vomiting Loss of appetite Weakness and fatigue Hot flashes Cough Muscle, joint, and bone pain Constipation Shortness of breath","Pain, nausea, weakness, hot flashes, cough.",7,"Good job listing multiple side effects, but more details could improve the answer.","Pain, joint pain, fatigue, constipation, shortness of breath.",6,"Good effort on listing side effects, but missed mentioning nausea, vomiting, and loss of appetite."
What are side effects of tamoxifen?,"For women, the side effects of tamoxifen are similar to some of the symptoms of menopause. Two of the most common ones are hot flashes and vaginal discharge. Other problems for women may include: Vaginal dryness or itching Irregular periods Headache Nausea and vomiting Skin rash Fatigue Water retention and weight gain The side effects may be similar to menopause, but tamoxifen doesn't trigger menopause.","Hot flashes, vaginal discharge, irregular periods, fatigue.",10,Great job! All the common side effects are mentioned.,"Headache, water retention, skin rash, nausea, itching.",8,"Good attempt, missed mentioning weight gain and vaginal dryness."
Does tamoxifen raise the risk of cataracts?,"Tamoxifen seems to give some women a higher chance of having this condition, which clouds the lens inside the eye. People have also reported eye problems such as corneal scarring or retinal changes.","Yes, tamoxifen can increase the risk of cataracts.",10,Correct and concise answer.,Some studies suggest tamoxifen may slightly increase cataract risk.,8,"Good attempt, more clarity would improve the answer."
Can tamoxifen prevent breast cancer?,"A large study by the National Cancer Institute looked at whether tamoxifen lowered cases of breast cancer in healthy women who were known to be likely to get the disease. The results of the trial showed a 50% reduction in breast cancer in the women who took the drug. Studies have also shown that tamoxifen lessens the risk of breast cancer returning in women who have had the earliest form of the disease, ductal carcinoma in situ ( DCIS).","Yes, tamoxifen can prevent breast cancer.",10,Correct and concise answer.,Tamoxifen may reduce the risk of breast cancer.,8,"Good attempt, but could be more definitive."
What are goserelin (Zoladex) and leuprorelin (Lupron) used for in breast cancer patients?,"There are two types of hormone therapy for breast cancer: Drugs that stop estrogen and progesterone from helping breast cancer cells grow Drugs or surgery to keep the ovaries from making the hormones Hormone therapy is different from hormone replacement therapy ( HRT), a treatment that adds hormones to the body to counter the effects of menopause.",Hormone therapy to stop estrogen/progesterone from helping cancer cells.,10,Correct and concise answer explaining the purpose of the drugs.,"Treatment for breast cancer, reducing hormone levels in body.",8,"Good attempt, but could specify that it targets estrogen and progesterone specifically."
What are the side effects of palbociclib to treat breast cancer?,"Common side effects include: Pain where you get the shot Nausea and vomiting Loss of appetite Weakness and fatigue Hot flashes Cough Muscle, joint, and bone pain Constipation Shortness of breath","Pain, nausea, weakness, hot flashes, cough.",8,"Good list of side effects, well done!","Fatigue, constipation, shortness of breath, joint pain.",7,"Good effort, but missed mentioning muscle pain and loss of appetite."
How does tamoxifen treat breast cancer?,"Common hormone therapy drugs for breast cancer treatment include: Anastrozole ( Arimidex) Exemestane ( Aromasin) Fulvestrant ( Faslodex) Goserelin ( Zoladex) Letrozole ( Femara) Leuprorelin, leuprolide acetate ( Lupron) Megestrol ( Megace) Tamoxifen ( Nolvadex, Soltamox) Toremifene ( Fareston) Tamoxifen is a pill that doctors have prescribed for more than 30 years to treat breast cancer. It works by keeping estrogen from attaching to the cancer cells.",Tamoxifen works by blocking estrogen from attaching to cancer cells.,10,"Perfect explanation, well done!",Tamoxifen is a pill that doctors prescribe for breast cancer.,7,"Good start, but more detail on how it works would be helpful."
Does tamoxifen produce side effects in men?,"For men, tamoxifen can cause: Headache Nausea and vomiting Skin rash Sexual side effects like erectile dysfunction or a lower sex drive Yes.","Yes, tamoxifen can cause sexual side effects in men.",10,Correct and complete answer.,Tamoxifen only produces side effects in women.,3,"Incorrect, tamoxifen can also cause side effects in men."
What are the side effects of goserelin (Zoladex) and leuprorelin (Lupron) for breast cancer?,"Common side effects include: Pain where you get the shot Nausea and vomiting Loss of appetite Weakness and fatigue Hot flashes Cough Muscle, joint, and bone pain Constipation Shortness of breath","Pain, nausea, fatigue, hot flashes, constipation.",8,"Good list of common side effects, well done.","Pain, fever, dizziness, headache, diarrhea.",5,"Some side effects are incorrect, need to be more accurate."
Which hormones fuel some types of breast cancer?,"Hormones that every woman has in her body -- estrogen and progesterone -- can be fuel for some types of breast cancer. They help the cells grow and spread. Hormone therapy, also called endocrine therapy, adds, blocks, or removes those chemicals to treat the disease.",Estrogen and progesterone,10,Correct and concise answer.,Hormones that help cells grow and spread,8,"Good attempt, but could specify estrogen and progesterone."
What are aromatase inhibitors?,Aromatase inhibitors: This type of hormone therapy drug keeps your body from breaking down testosterone into estrogen. They include: Anastrozole ( Arimidex) Exemestane ( Aromasin) Letrozole ( Femara) Aromatase inhibitors keep breast cancer from getting worse for longer than tamoxifen in women who have the advanced disease whose tumors rely on estrogen to grow.,Hormone therapy drugs that block estrogen production.,9,"Good explanation, could mention specific drugs.",Drugs that stop the breakdown of testosterone into estrogen.,7,"Partially correct, could mention their role in breast cancer treatment."
What are the side effects of tamoxifen as a treatment for breast cancer?,"For women, the side effects of tamoxifen are similar to some of the symptoms of menopause. Two of the most common ones are hot flashes and vaginal discharge. Other problems for women may include: Vaginal dryness or itching Irregular periods Headache Nausea and vomiting Skin rash Fatigue Water retention and weight gain The side effects may be similar to menopause, but tamoxifen doesn't trigger menopause.","Side effects include hot flashes, vaginal discharge.",9,Good summary of the main side effects.,"Hot flashes, skin rash, weight gain, headache.",7,Good attempt but missed mentioning other common side effects like nausea and irregular periods.
How can tamoxifen cause high risk of blood clots?,Women who take tamoxifen may have a slightly higher risk of blood clots in their lungs or large veins. It's an even bigger risk for smokers.,Women who take tamoxifen have higher risk of blood clots.,7,"Good answer, but could be more specific about the lungs or large veins.","Tamoxifen can lead to blood clots, especially in smokers.",8,Good job mentioning the increased risk for smokers. Consider adding more details about the specific locations of blood clots.
Does tamoxifen help if you had ductal carcinoma in situ (DCIS)?,"Studies have also shown that tamoxifen lessens the risk of breast cancer returning in women who have had the earliest form of the disease, ductal carcinoma in situ ( DCIS).","Yes, tamoxifen lessens the risk of DCIS recurrence.",10,"Perfect answer, clear and concise.",Tamoxifen can help reduce DCIS recurrence risk.,9,"Good answer, could be more specific about the benefits of tamoxifen."
What are two types of hormone therapy for breast cancer?,"There are two types of hormone therapy for breast cancer: Drugs that stop estrogen and progesterone from helping breast cancer cells grow Drugs or surgery to keep the ovaries from making the hormones Hormone therapy is different from hormone replacement therapy ( HRT), a treatment that adds hormones to the body to counter the effects of menopause.",Drugs that stop estrogen and progesterone. Drugs or surgery to keep ovaries from making hormones.,10,"Excellent, both types of hormone therapy are accurately described.",Drugs that increase estrogen. Radiation therapy to reduce hormone levels.,3,"The first part is incorrect, but the second part is somewhat relevant. Try to be more specific in your answer."
What are symptoms of tamoxifen for men?,"For men, tamoxifen can cause: Headache Nausea and vomiting Skin rash Sexual side effects like erectile dysfunction or a lower sex drive Yes.","Headache, nausea, skin rash, sexual side effects",10,Correct and comprehensive answer,"Headache, vomiting, skin rash, no sexual effects",7,"Missing mention of sexual side effects; otherwise, good effort"
What are the two types of hormone therapy for breast cancer?,"There are two types of hormone therapy for breast cancer: Drugs that stop estrogen and progesterone from helping breast cancer cells grow Drugs or surgery to keep the ovaries from making the hormones Hormone therapy is different from hormone replacement therapy ( HRT), a treatment that adds hormones to the body to counter the effects of menopause.",Drugs that stop estrogen and progesterone. Hormone therapy to reduce hormone production.,9,"Good, clear and concise answers. Well done!",Drugs that stop estrogen and progesterone. Surgery to remove ovaries.,7,"Correct, but surgery is not always needed. Provide more details for better understanding."
How can aromatase inhibitors help with treating breast cancer?,Aromatase inhibitors: This type of hormone therapy drug keeps your body from breaking down testosterone into estrogen. They include: Anastrozole ( Arimidex) Exemestane ( Aromasin) Letrozole ( Femara) Aromatase inhibitors keep breast cancer from getting worse for longer than tamoxifen in women who have the advanced disease whose tumors rely on estrogen to grow.,Aromatase inhibitors block estrogen production to treat cancer.,10,"Perfect answer, well done!","Aromatase inhibitors reduce estrogen levels, slowing cancer growth.",8,"Good description, could mention their role in advanced disease."
When did doctors first use tamoxifen to treat breast cancer?,Doctors first used tamoxifen to treat women whose breast cancer had spread in their bodies because it slowed or stopped the growth of the disease. The drug also lowers the chance that some early stage breast cancers will come back. And it can lower the risk that a woman will get cancer in her other breast later on.,Doctors first used tamoxifen in the 1970s.,10,Correct and concise answer.,Doctors first used tamoxifen in the 2000s.,2,"Incorrect timeline, it was actually in the 1970s."
What are common hormone therapy drugs for breast cancer?,"Common hormone therapy drugs for breast cancer treatment include: Anastrozole ( Arimidex) Exemestane ( Aromasin) Fulvestrant ( Faslodex) Goserelin ( Zoladex) Letrozole ( Femara) Leuprorelin, leuprolide acetate ( Lupron) Megestrol ( Megace) Tamoxifen ( Nolvadex, Soltamox) Toremifene ( Fareston) Tamoxifen is a pill that doctors have prescribed for more than 30 years to treat breast cancer.","Anastrozole, Exemestane, Fulvestrant, Goserelin, Letrozole",10,"Perfect answer, all relevant drugs mentioned.","Tamoxifen, Megestrol, Leuprorelin, Toremifene, Raloxifene",7,"Good attempt, but missed some common drugs like Anastrozole and Letrozole."
Does tamoxifen raise the risk of uterine cancer?,"But this risk is small, and it may be outweighed by the benefits of tamoxifen for breast cancer treatment. Talk to your doctor to know for sure.","Yes, but the risk is small and benefits outweigh.",9,"Good answer, clear and concise.","Yes, tamoxifen can slightly increase uterine cancer risk.",7,"Clear, but could have mentioned benefits of tamoxifen."
What are the side effects of exemestane to treat breast cancer?,"Other problems for women may include: Vaginal dryness or itching Irregular periods Headache Nausea and vomiting Skin rash Fatigue Water retention and weight gain The side effects may be similar to menopause, but tamoxifen doesn't trigger menopause.","Vaginal dryness, irregular periods, headache, nausea, skin rash.",8,Good job listing multiple side effects.,"Fatigue, weight gain, menopause-like symptoms, water retention, skin rash.",7,"Good attempt, but missed mentioning other common side effects like vaginal dryness and irregular periods."
How does tamoxifen affect medications in breast cancer patients?,They can change how the drug works and affect the breast cancer.,"Tamoxifen can interact with other drugs, altering effectiveness.",10,"Perfect answer, well explained.",Tamoxifen changes how other drugs work in the body.,8,"Good attempt, could specify the exact impact."
Can tamoxifen affect the fertility of women using it to treat breast cancer?,"But it might harm a growing baby, so it's important to use some form of barrier birth control while you're taking it, like condoms or a diaphragm. Don't use birth control pills. They can change how the drug works and affect the breast cancer. Tell your doctor right away if you think you've become pregnant while you're taking tamoxifen.","Yes, tamoxifen can affect fertility in women.",10,Correct and concise.,Tamoxifen affects fertility but use birth control.,8,"Good, but could have mentioned the importance of birth control more explicitly."
What are the side effects of aromatase inhibitors to treat breast cancer?,Side effects of aromatase inhibitors include: Nausea and vomiting Diarrhea and constipation Hot flashes Headache Bone pain Severe fatigue Skin rash Swelling and water retention Flu-like symptoms Increased bone loss Fulvestrant ( Faslodex): This shot keeps estrogen from attaching to cancer cells.,"Nausea, vomiting, hot flashes, and bone pain.",8,"Good job listing common side effects, but missed some key ones like skin rash and fatigue.","Diarrhea, constipation, headache, and water retention.",6,"Partial answer, missed important side effects like nausea, bone pain, and skin rash. Try to include more details next time."
Who shouldn't use tamoxifen?,"Tamoxifen is an option for: Treatment of the earliest form of breast cancer, ductal carcinoma in situ ( DCIS), along with surgery Treatment of abnormal cells in the glands that make milk, called lobular carcinoma in situ ( LCIS), to lessen the chance that they'll become more advanced breast cancer Treatment of breast cancer in men and women whose cancers use estrogen Treatment of breast cancer that has spread to other parts of the body or that comes back after treatment To prevent breast cancer in women at high risk for the disease Some people should not use tamoxifen: Pregnant women Women planning to get pregnant Men or women who've had blood clots or a stroke Talk to your doctor to see if tamoxifen is right for you. Talk to your doctor to know for sure.","Pregnant women, women planning to get pregnant",9,Good job in providing two specific groups who shouldn't use tamoxifen.,"People with high cholesterol, people with diabetes",5,"The answer is partially correct, but these conditions are not direct contraindications for tamoxifen."
Who can use tamoxifen for breast cancer?,"Tamoxifen is an option for: Treatment of the earliest form of breast cancer, ductal carcinoma in situ ( DCIS), along with surgery Treatment of abnormal cells in the glands that make milk, called lobular carcinoma in situ ( LCIS), to lessen the chance that they'll become more advanced breast cancer Treatment of breast cancer in men and women whose cancers use estrogen Treatment of breast cancer that has spread to other parts of the body or that comes back after treatment To prevent breast cancer in women at high risk for the disease Some people should not use tamoxifen: Pregnant women Women planning to get pregnant Men or women who've had blood clots or a stroke Talk to your doctor to see if tamoxifen is right for you. Studies have found that it prevents breast cancer in women who are at high risk, but with fewer side effects.",Treatment of breast cancer in men and women who cancers use estrogen.,8,"Good answer, but can be more specific about the type of breast cancer it treats.",Used for breast cancer in men and women.,6,"Partially correct, but could mention it's specifically for estrogen-positive breast cancer."
What is palbociclib (Ibrance)?,"They help the cells grow and spread. There are two types of hormone therapy for breast cancer: Drugs that stop estrogen and progesterone from helping breast cancer cells grow Drugs or surgery to keep the ovaries from making the hormones Hormone therapy is different from hormone replacement therapy ( HRT), a treatment that adds hormones to the body to counter the effects of menopause. Tamoxifen is an option for: Treatment of the earliest form of breast cancer, ductal carcinoma in situ ( DCIS), along with surgery Treatment of abnormal cells in the glands that make milk, called lobular carcinoma in situ ( LCIS), to lessen the chance that they'll become more advanced breast cancer Treatment of breast cancer in men and women whose cancers use estrogen Treatment of breast cancer that has spread to other parts of the body or that comes back after treatment To prevent breast cancer in women at high risk for the disease Some people should not use tamoxifen: Pregnant women Women planning to get pregnant Men or women who've had blood clots or a stroke Talk to your doctor to see if tamoxifen is right for you.",A drug used for hormone therapy in breast cancer.,9,"Good, but could be more specific about its mechanism of action.",A medication that helps cells grow and spread.,6,"Partially correct, but missing key details about its role in breast cancer treatment."
